Comment1,Comment2,Comment3,Comment4,Comment5,Comment6,DateCancelled,EntereBy,OcmTransKey,SessionNumber,SessionNumberExt,Status,StatusInt,TimeCancelled,TransactionNumber
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
,,,,,,,,,,,SG,1,,
